Electrical Gadgets,Company Name,Years of Warranty,Year of Manufacturing,Years of Expiry,Radiation Generated
Tablet,Gadget Corp,1,2022,7,Low
Smartphone,Innovations Inc,2,2022,5,Moderate
Smartwatch,Systems Ltd,5,2018,4,High
Smartwatch,Enterprises Group,2,2019,4,Moderate
Tablet,Electronics Ltd,5,2024,7,High
Tablet,Tech Inc,1,2023,6,High
Headphones,Systems Inc,4,2023,4,Minimal
Laptop,Tech Inc,3,2023,4,High
Smartwatch,Solutions Inc,4,2022,5,Low
Laptop,Gadget Ltd,5,2021,4,High
Tablet,Solutions Ltd,4,2018,3,Minimal
Tablet,Electronics Inc,3,2024,6,Low
Smartphone,Solutions Corp,4,2024,7,Minimal
Smartwatch,Solutions Inc,5,2023,4,Low
Smartwatch,Gadget Group,5,2021,2,Low
Headphones,Tech Inc,4,2018,2,High
Smartphone,Electronics Group,3,2018,8,Low
Laptop,Tech Ltd,2,2022,4,High
Headphones,Enterprises Group,4,2020,8,Minimal
Tablet,Tech Group,5,2023,3,Low
Headphones,Systems Corp,3,2018,5,Low
Smartphone,Systems Inc,5,2022,8,Minimal
Laptop,Systems Group,2,2019,5,Moderate
Headphones,Systems Group,2,2018,2,High
Smartphone,Solutions Corp,1,2024,4,Minimal
Headphones,Gadget Group,5,2019,3,Minimal
Laptop,Innovations Ltd,1,2024,6,Minimal
Smartwatch,Gadget Corp,1,2018,3,Moderate
Tablet,Tech Corp,5,2019,2,Moderate
Laptop,Gadget Ltd,2,2018,5,Low
Smartphone,Systems Group,4,2020,2,Minimal
Laptop,Enterprises Corp,1,2019,4,Low
Smartwatch,Electronics Inc,3,2024,3,Moderate
Laptop,Innovations Corp,4,2024,5,Minimal
Headphones,Electronics Ltd,3,2021,8,Moderate
Laptop,Electronics Group,4,2018,7,Low
Laptop,Solutions Ltd,2,2024,4,Moderate
Laptop,Tech Corp,5,2023,6,Low
Laptop,Systems Group,3,2023,5,Low
Laptop,Gadget Inc,4,2018,7,High
Headphones,Enterprises Corp,1,2019,4,Low
Smartphone,Tech Group,4,2024,7,Low
Headphones,Systems Corp,2,2021,7,Low
Headphones,Innovations Group,2,2020,8,High
Smartwatch,Tech Inc,4,2024,3,High
Smartphone,Solutions Group,5,2024,5,Low
Headphones,Electronics Corp,4,2022,8,High
Smartwatch,Innovations Group,1,2023,5,High
Smartphone,Electronics Ltd,3,2020,3,Low
Tablet,Innovations Ltd,3,2019,4,Moderate
Smartphone,Electronics Ltd,4,2019,8,Minimal
Headphones,Solutions Corp,2,2024,4,Low
Smartphone,Enterprises Inc,1,2019,2,High
Tablet,Enterprises Inc,5,2018,8,High
Laptop,Solutions Group,3,2022,3,High
Laptop,Solutions Corp,2,2022,3,Low
Headphones,Gadget Group,1,2021,8,High
Headphones,Innovations Group,4,2020,7,Moderate
Laptop,Tech Group,1,2023,4,Moderate
Smartwatch,Tech Ltd,3,2020,2,Moderate
Tablet,Innovations Inc,5,2024,5,Minimal
Tablet,Innovations Inc,4,2023,2,Moderate
Tablet,Enterprises Ltd,1,2021,8,High
Smartwatch,Electronics Corp,4,2020,2,High
Tablet,Systems Inc,4,2024,6,Moderate
Smartwatch,Innovations Inc,3,2021,2,Minimal
Headphones,Systems Group,3,2018,8,Minimal
Laptop,Innovations Group,1,2024,7,High
Smartphone,Innovations Group,1,2020,6,High
Headphones,Enterprises Group,5,2023,6,Moderate
Laptop,Electronics Corp,4,2022,7,Minimal
Laptop,Systems Corp,5,2022,4,High
Smartwatch,Tech Ltd,5,2018,6,High
Laptop,Innovations Inc,4,2019,8,Low
Tablet,Solutions Ltd,4,2020,6,Low
Laptop,Innovations Corp,5,2024,8,Low
Headphones,Gadget Ltd,4,2021,4,Minimal
Headphones,Systems Group,3,2023,4,Moderate
Headphones,Systems Ltd,2,2019,8,Minimal
Smartwatch,Gadget Corp,5,2018,4,Moderate
Headphones,Tech Corp,4,2020,8,High
Smartwatch,Tech Inc,5,2022,6,High
Laptop,Systems Inc,2,2023,6,Moderate
Laptop,Enterprises Ltd,2,2020,7,Moderate
Laptop,Enterprises Group,2,2019,7,Low
Smartwatch,Tech Group,5,2023,7,Moderate
Tablet,Enterprises Corp,1,2021,5,Minimal
Headphones,Enterprises Corp,3,2023,2,Minimal
Smartphone,Systems Group,1,2019,7,Moderate
Tablet,Electronics Inc,3,2019,7,Moderate
Smartphone,Enterprises Ltd,5,2021,4,High
Smartphone,Electronics Corp,5,2021,5,Minimal
Headphones,Gadget Corp,2,2018,6,High
Laptop,Gadget Corp,2,2020,2,High
Headphones,Gadget Ltd,1,2019,5,Minimal
Laptop,Systems Inc,5,2024,8,Minimal
Smartwatch,Gadget Group,1,2024,6,Minimal
Smartwatch,Tech Group,5,2021,3,Minimal
Laptop,Systems Corp,5,2021,7,Minimal
Tablet,Innovations Inc,2,2020,6,High
Tablet,Gadget Inc,2,2020,7,Moderate
Smartwatch,Tech Ltd,1,2024,7,Moderate
Headphones,Systems Ltd,5,2019,6,Moderate
Tablet,Gadget Group,2,2022,8,Minimal
Smartwatch,Gadget Group,4,2018,5,Low
Laptop,Systems Inc,4,2019,7,Minimal
Headphones,Enterprises Inc,2,2023,4,Minimal
Smartwatch,Gadget Ltd,3,2024,3,Moderate
Smartwatch,Solutions Ltd,5,2021,8,High
Smartwatch,Gadget Inc,2,2021,8,Minimal
Laptop,Systems Ltd,1,2023,6,High
Smartwatch,Innovations Inc,5,2023,2,Moderate
Tablet,Systems Group,1,2021,5,Moderate
Smartwatch,Electronics Ltd,1,2020,4,High
Laptop,Solutions Corp,1,2019,3,Low
Smartphone,Electronics Group,1,2022,8,High
Laptop,Solutions Inc,3,2018,6,Low
Smartwatch,Innovations Inc,1,2019,8,Minimal
Laptop,Innovations Group,2,2024,3,Minimal
Laptop,Tech Inc,5,2023,8,High
Smartphone,Enterprises Ltd,1,2021,6,High
Headphones,Systems Corp,3,2022,3,Moderate
Smartwatch,Systems Inc,1,2024,5,Low
Tablet,Solutions Ltd,2,2024,3,Moderate
Tablet,Innovations Inc,5,2023,3,Low
Tablet,Innovations Inc,1,2024,8,Low
Headphones,Solutions Inc,4,2024,4,Minimal
Headphones,Enterprises Ltd,3,2024,2,Moderate
Tablet,Enterprises Group,1,2023,4,Moderate
Laptop,Innovations Ltd,1,2020,5,Moderate
Headphones,Enterprises Group,1,2020,8,Moderate
Smartphone,Electronics Inc,1,2021,8,Low
Headphones,Electronics Inc,4,2024,2,High
Smartwatch,Enterprises Corp,4,2023,6,Low
Laptop,Enterprises Inc,5,2020,2,Moderate
Headphones,Systems Ltd,1,2021,4,Minimal
Laptop,Tech Corp,2,2022,3,High
Smartwatch,Electronics Inc,4,2020,4,Moderate
Laptop,Solutions Inc,1,2019,2,Low
Smartwatch,Innovations Inc,2,2021,3,High
Headphones,Innovations Corp,3,2022,2,Low
Smartphone,Electronics Group,5,2022,4,Low
Laptop,Enterprises Ltd,3,2019,2,Low
Smartphone,Systems Ltd,2,2018,7,Moderate
Smartwatch,Enterprises Corp,1,2022,8,Low
Headphones,Systems Ltd,3,2018,6,Minimal
Smartphone,Enterprises Inc,5,2021,5,Moderate
Smartphone,Enterprises Ltd,2,2022,6,High
Smartphone,Solutions Ltd,3,2018,3,High
Laptop,Innovations Group,2,2018,3,Low
Smartphone,Innovations Ltd,5,2018,5,Moderate
Smartwatch,Innovations Inc,4,2021,3,Moderate
Smartphone,Solutions Inc,1,2021,6,Moderate
Laptop,Innovations Corp,2,2024,6,High
Headphones,Electronics Inc,4,2019,3,High
Tablet,Gadget Group,2,2024,3,Low
Headphones,Tech Ltd,2,2020,2,Minimal
Headphones,Systems Group,3,2018,2,Low
Smartwatch,Enterprises Group,1,2019,6,High
Smartwatch,Gadget Ltd,3,2019,7,Low
Laptop,Tech Ltd,2,2024,2,Minimal
Laptop,Enterprises Inc,2,2018,3,High
Laptop,Innovations Group,4,2024,4,Minimal
Laptop,Tech Group,5,2022,8,High
Smartwatch,Tech Inc,2,2024,8,Low
Headphones,Electronics Inc,5,2024,2,Moderate
Smartwatch,Enterprises Ltd,1,2021,8,Minimal
Laptop,Gadget Ltd,2,2018,2,Minimal
Tablet,Electronics Ltd,5,2023,5,High
Tablet,Innovations Inc,1,2020,8,High
Laptop,Gadget Corp,2,2022,8,Moderate
Laptop,Innovations Group,3,2020,5,Moderate
Smartwatch,Systems Corp,4,2020,2,High
Tablet,Electronics Inc,1,2020,4,High
Smartphone,Electronics Group,1,2020,2,Minimal
Headphones,Solutions Ltd,2,2024,7,High
Headphones,Gadget Corp,2,2020,6,High
Headphones,Solutions Ltd,1,2024,8,High
Headphones,Innovations Inc,4,2024,5,High
Smartphone,Systems Group,1,2021,5,Minimal
Smartwatch,Gadget Inc,5,2023,6,Moderate
Smartphone,Gadget Group,1,2024,7,Minimal
Tablet,Tech Ltd,2,2022,8,High
Tablet,Solutions Inc,3,2018,7,Minimal
Smartphone,Tech Inc,2,2019,4,High
Smartwatch,Solutions Corp,4,2019,8,Moderate
Laptop,Tech Corp,3,2022,3,High
Headphones,Gadget Corp,5,2018,4,Moderate
Laptop,Electronics Ltd,1,2018,3,Moderate
Smartphone,Electronics Ltd,5,2022,6,Moderate
Tablet,Tech Corp,4,2024,6,Moderate
Tablet,Solutions Corp,4,2022,3,Moderate
Laptop,Innovations Ltd,5,2023,3,Minimal
Headphones,Gadget Inc,2,2019,8,High
Smartwatch,Gadget Group,1,2023,7,Minimal
Headphones,Enterprises Group,4,2018,2,Moderate
Tablet,Innovations Corp,5,2019,4,Minimal
Laptop,Gadget Corp,2,2018,4,Minimal
Smartphone,Tech Group,2,2019,8,Moderate
Laptop,Tech Inc,4,2018,8,Low
Laptop,Enterprises Ltd,5,2018,7,Moderate
Headphones,Solutions Inc,4,2021,7,Low
Laptop,Electronics Corp,4,2023,6,High
Smartwatch,Systems Ltd,4,2022,5,Minimal
Smartwatch,Solutions Group,2,2019,3,Low
Headphones,Tech Corp,4,2018,5,Low
Smartwatch,Solutions Inc,1,2022,2,High
Headphones,Electronics Inc,3,2024,2,Minimal
Smartwatch,Gadget Corp,1,2023,4,Minimal
Tablet,Gadget Ltd,5,2020,8,High
Smartphone,Enterprises Group,4,2022,6,Moderate
Tablet,Tech Corp,3,2023,2,High
Smartwatch,Gadget Inc,4,2021,3,Minimal
Laptop,Systems Inc,5,2021,4,Low
Smartwatch,Gadget Inc,1,2022,3,Moderate
Laptop,Solutions Inc,4,2021,8,Moderate
Smartwatch,Enterprises Group,2,2023,2,Minimal
Smartwatch,Systems Corp,5,2022,6,Low
Smartwatch,Enterprises Inc,5,2019,6,High
Tablet,Systems Ltd,4,2018,7,Moderate
Tablet,Gadget Corp,3,2024,8,High
Tablet,Electronics Inc,3,2018,3,Low
Smartwatch,Enterprises Corp,3,2021,4,Low
Smartwatch,Enterprises Group,3,2021,7,High
Smartwatch,Gadget Ltd,3,2020,8,Moderate
Headphones,Enterprises Group,4,2022,8,Low
Smartphone,Enterprises Ltd,1,2021,5,High
Smartphone,Electronics Corp,4,2023,4,Low
Headphones,Solutions Corp,4,2022,3,Moderate
Tablet,Solutions Corp,2,2022,7,Moderate
Smartphone,Systems Ltd,1,2018,7,Low
Headphones,Gadget Group,4,2022,3,Minimal
Laptop,Solutions Group,1,2022,7,Low
Smartphone,Innovations Corp,4,2018,4,Moderate
Smartwatch,Tech Group,5,2018,3,Low
Laptop,Tech Corp,3,2022,5,Low
Laptop,Systems Ltd,1,2021,7,Moderate
Smartwatch,Systems Group,4,2023,5,Moderate
Laptop,Solutions Ltd,3,2021,6,Low
Laptop,Electronics Group,1,2021,7,Moderate
Smartwatch,Electronics Corp,2,2024,7,Minimal
Smartwatch,Tech Group,3,2024,2,Low
Laptop,Innovations Group,5,2021,5,Minimal
Laptop,Enterprises Inc,2,2023,3,Minimal
Tablet,Electronics Group,3,2018,6,Moderate
Tablet,Enterprises Ltd,2,2021,4,Low
Headphones,Innovations Corp,2,2024,7,Low
Headphones,Gadget Corp,3,2018,8,Low
Smartphone,Enterprises Group,4,2019,2,Moderate
Tablet,Systems Corp,3,2022,4,Moderate
Laptop,Systems Corp,1,2023,2,Low
Smartphone,Gadget Corp,3,2021,7,Minimal
Tablet,Tech Corp,2,2023,6,Minimal
Tablet,Innovations Group,3,2019,2,High
Headphones,Systems Corp,3,2020,6,Minimal
Headphones,Tech Group,5,2019,3,Minimal
Tablet,Gadget Group,4,2021,5,Minimal
Laptop,Solutions Corp,4,2022,3,Minimal
Tablet,Systems Ltd,5,2020,5,Moderate
Laptop,Electronics Inc,2,2019,6,High
Laptop,Enterprises Ltd,2,2023,3,Minimal
Headphones,Enterprises Group,5,2020,7,Minimal
Smartphone,Electronics Ltd,1,2021,8,Moderate
Smartphone,Innovations Inc,2,2021,6,Moderate
Smartwatch,Enterprises Inc,5,2022,3,Low
Laptop,Enterprises Ltd,4,2018,8,Moderate
Smartwatch,Gadget Ltd,1,2022,2,Minimal
Tablet,Gadget Group,1,2019,5,Moderate
Laptop,Innovations Corp,4,2024,8,High
Tablet,Innovations Ltd,5,2023,2,Low
Laptop,Tech Ltd,2,2021,7,Minimal
Smartwatch,Tech Corp,2,2020,7,Minimal
Tablet,Systems Group,3,2024,6,Low
Tablet,Innovations Ltd,2,2020,2,Low
Laptop,Enterprises Inc,1,2022,4,High
Headphones,Enterprises Inc,4,2022,2,Minimal
Laptop,Enterprises Group,4,2024,5,Moderate
Smartphone,Solutions Corp,4,2020,5,Low
Smartwatch,Enterprises Ltd,5,2021,6,Minimal
Tablet,Enterprises Corp,3,2021,6,Low
Tablet,Enterprises Inc,3,2024,8,Low
Smartphone,Systems Ltd,3,2020,6,Minimal
Headphones,Gadget Ltd,2,2021,6,Minimal
Smartphone,Enterprises Group,1,2019,7,Moderate
Headphones,Gadget Group,1,2018,7,Minimal
Laptop,Gadget Group,1,2019,2,Minimal
Headphones,Enterprises Group,2,2020,8,Low
Laptop,Solutions Inc,1,2022,3,Low
Tablet,Systems Group,5,2019,8,Moderate
Smartphone,Tech Inc,5,2019,7,Low
Headphones,Gadget Ltd,2,2020,8,Minimal
Laptop,Gadget Group,3,2021,3,Low
Smartwatch,Tech Inc,5,2019,7,Low
Laptop,Systems Ltd,3,2019,5,Minimal
Smartwatch,Systems Group,2,2023,5,Low
Tablet,Electronics Inc,2,2019,5,Moderate
Smartphone,Tech Ltd,3,2024,6,High
Smartwatch,Tech Ltd,1,2023,3,High
Smartphone,Innovations Inc,4,2021,7,Low
Tablet,Solutions Group,1,2021,3,Minimal
Laptop,Enterprises Corp,5,2018,4,Minimal
Headphones,Tech Ltd,4,2023,2,High
Tablet,Tech Inc,4,2022,3,Minimal
Tablet,Systems Group,2,2020,8,Minimal
Laptop,Solutions Corp,3,2018,3,High
Headphones,Solutions Corp,2,2021,6,High
Headphones,Innovations Inc,1,2019,3,Minimal
Laptop,Solutions Group,3,2018,5,Minimal
Smartphone,Enterprises Group,2,2022,8,High
Tablet,Electronics Group,1,2020,8,High
Laptop,Gadget Group,1,2018,2,Minimal
Smartphone,Innovations Inc,3,2022,5,Low
Smartwatch,Electronics Inc,3,2022,2,Low
Smartphone,Enterprises Inc,5,2021,2,Low
Smartphone,Innovations Ltd,5,2023,7,High
Headphones,Electronics Inc,2,2022,8,Moderate
Smartphone,Innovations Inc,5,2020,5,Low
Smartphone,Innovations Inc,4,2022,2,Moderate
Laptop,Electronics Group,4,2018,3,Low
Laptop,Innovations Group,3,2024,6,Minimal
Headphones,Systems Group,4,2023,7,Minimal
Laptop,Innovations Ltd,3,2023,7,High
Smartphone,Innovations Ltd,1,2020,5,Moderate
Headphones,Electronics Corp,3,2024,5,Low
Smartphone,Gadget Group,5,2021,6,Minimal
Smartwatch,Gadget Ltd,2,2022,6,Low
Tablet,Electronics Corp,2,2021,2,Minimal
Laptop,Enterprises Group,3,2021,7,High
Smartphone,Solutions Corp,5,2021,6,Moderate
Headphones,Systems Group,2,2019,3,Minimal
Headphones,Tech Ltd,3,2020,4,Moderate
Headphones,Enterprises Inc,3,2019,7,Low
Tablet,Gadget Corp,4,2020,4,Low
Tablet,Tech Group,5,2023,8,Low
Smartwatch,Systems Ltd,1,2020,6,Low
Smartwatch,Solutions Corp,3,2023,3,High
Smartphone,Solutions Inc,2,2023,3,High
Smartphone,Solutions Group,2,2018,6,High
Headphones,Gadget Inc,1,2023,6,Minimal
Headphones,Tech Inc,3,2024,8,Low
Laptop,Systems Ltd,3,2019,4,High
Tablet,Solutions Group,3,2018,2,Low
Smartphone,Solutions Ltd,3,2023,8,High
Laptop,Electronics Corp,5,2023,5,Moderate
Headphones,Innovations Group,3,2023,8,Minimal
Smartphone,Innovations Ltd,5,2024,6,Low
Headphones,Electronics Ltd,1,2021,3,Low
Tablet,Solutions Inc,2,2019,2,High
Headphones,Tech Ltd,1,2020,6,Low
Smartwatch,Solutions Group,4,2024,6,Low
Tablet,Innovations Group,4,2021,7,High
Tablet,Tech Ltd,2,2019,8,High
Tablet,Electronics Ltd,3,2020,8,Low
Headphones,Tech Inc,2,2023,7,Moderate
Headphones,Electronics Group,3,2022,6,High
Laptop,Systems Inc,3,2023,2,Minimal
Smartwatch,Innovations Inc,3,2019,2,Moderate
Tablet,Electronics Ltd,1,2019,7,Minimal
Smartwatch,Gadget Corp,5,2024,3,Moderate
Headphones,Tech Group,5,2019,4,Moderate
Smartwatch,Tech Inc,4,2024,8,Low
Smartwatch,Innovations Group,1,2023,8,Low
Smartwatch,Solutions Corp,5,2021,2,Moderate
Smartphone,Enterprises Group,1,2023,5,Low
Laptop,Solutions Inc,5,2019,5,Low
Smartwatch,Electronics Corp,4,2018,4,High
Laptop,Gadget Corp,5,2019,8,Minimal
Headphones,Innovations Ltd,4,2020,3,Low
Smartwatch,Innovations Inc,1,2022,8,Minimal
Smartwatch,Electronics Ltd,5,2021,7,Minimal
Tablet,Gadget Inc,1,2022,6,High
Headphones,Tech Corp,5,2018,5,Low
Tablet,Gadget Inc,3,2022,4,Low
Laptop,Solutions Group,4,2024,3,Low
Smartphone,Solutions Ltd,2,2019,7,Minimal
Laptop,Solutions Inc,3,2019,2,Moderate
Headphones,Electronics Ltd,4,2020,6,High
Laptop,Solutions Ltd,3,2020,8,Minimal
Headphones,Enterprises Ltd,1,2020,6,High
Smartwatch,Innovations Inc,4,2024,5,Moderate
Smartwatch,Tech Corp,4,2024,6,Low
Tablet,Tech Inc,2,2019,4,Low
Smartwatch,Enterprises Group,3,2018,4,Minimal
Tablet,Systems Group,2,2020,7,Moderate
Smartphone,Tech Group,2,2018,6,Low
Tablet,Tech Corp,3,2023,3,Minimal
Laptop,Innovations Group,1,2020,2,Moderate
Smartwatch,Solutions Inc,3,2024,5,Low
Tablet,Systems Inc,1,2024,5,High
Headphones,Gadget Inc,1,2022,6,Low
Smartwatch,Gadget Corp,2,2024,5,Moderate
Smartwatch,Gadget Corp,2,2023,5,Moderate
Smartwatch,Gadget Group,2,2024,2,Minimal
Smartphone,Gadget Group,5,2022,4,High
Tablet,Tech Corp,3,2019,4,High
Smartphone,Innovations Ltd,3,2022,2,Minimal
Tablet,Gadget Group,5,2020,7,Moderate
Smartwatch,Innovations Corp,5,2022,4,High
Laptop,Tech Corp,4,2023,8,Low
Headphones,Electronics Corp,4,2024,4,Low
Tablet,Systems Group,5,2018,5,Moderate
Smartphone,Tech Corp,5,2019,3,High
Smartphone,Systems Group,4,2022,3,Low
Smartphone,Solutions Corp,5,2018,2,Low
Smartphone,Electronics Inc,3,2021,6,High
Laptop,Systems Group,3,2023,2,High
Tablet,Systems Corp,5,2021,7,Low
Tablet,Tech Ltd,5,2022,3,Minimal
Laptop,Systems Group,3,2023,6,Minimal
Smartwatch,Tech Inc,1,2024,8,Moderate
Laptop,Gadget Inc,3,2020,3,Moderate
Laptop,Solutions Inc,4,2018,4,Minimal
Smartwatch,Gadget Group,2,2021,2,Low
Laptop,Electronics Ltd,5,2019,7,High
Smartphone,Innovations Ltd,2,2020,2,Minimal
Headphones,Gadget Inc,1,2022,3,High
Tablet,Enterprises Group,1,2020,2,Low
Tablet,Enterprises Corp,2,2023,3,Moderate
Smartwatch,Tech Group,3,2018,2,Minimal
Tablet,Tech Group,3,2021,5,High
Laptop,Tech Inc,2,2021,8,Moderate
Smartphone,Systems Inc,2,2023,3,Minimal
Smartwatch,Systems Corp,4,2023,6,Moderate
Smartphone,Gadget Ltd,3,2020,6,Moderate
Laptop,Electronics Group,1,2021,8,High
Smartphone,Innovations Corp,1,2020,6,Minimal
Tablet,Innovations Group,1,2021,5,Minimal
Smartwatch,Gadget Inc,1,2019,2,Minimal
Headphones,Electronics Ltd,3,2018,7,Moderate
Headphones,Innovations Corp,1,2020,6,Low
Smartwatch,Systems Group,1,2023,8,High
Smartphone,Enterprises Group,3,2023,4,High
Smartphone,Tech Inc,1,2022,3,Moderate
Headphones,Systems Corp,5,2023,2,Minimal
Smartwatch,Gadget Group,4,2023,8,Minimal
Headphones,Enterprises Group,3,2023,6,Moderate
Smartwatch,Enterprises Group,3,2019,8,High
Tablet,Solutions Corp,3,2022,6,Moderate
Laptop,Systems Ltd,5,2024,2,Low
Headphones,Systems Ltd,5,2021,4,Low
Smartphone,Solutions Corp,1,2019,2,Minimal
Tablet,Electronics Corp,1,2021,6,Low
Tablet,Systems Ltd,4,2021,7,Minimal
Smartwatch,Gadget Inc,1,2024,3,Minimal
Tablet,Tech Group,3,2018,8,Low
Smartphone,Gadget Group,2,2018,2,Low
Headphones,Gadget Inc,5,2020,8,Minimal
Laptop,Gadget Group,3,2023,5,Low
Tablet,Innovations Ltd,3,2021,6,Moderate
Tablet,Solutions Ltd,4,2022,6,Moderate
Smartphone,Electronics Group,3,2021,7,Moderate
Smartphone,Tech Ltd,3,2022,4,Minimal
Smartwatch,Enterprises Group,4,2022,2,Moderate
Smartwatch,Systems Ltd,3,2018,3,Low
Headphones,Electronics Inc,1,2020,8,High
Smartphone,Electronics Group,3,2018,2,High
Smartwatch,Enterprises Ltd,3,2019,3,Low
Laptop,Tech Inc,5,2020,2,Minimal
Tablet,Innovations Group,2,2021,4,High
Laptop,Tech Inc,5,2018,3,Moderate
Headphones,Solutions Group,2,2018,6,Minimal
Headphones,Systems Corp,4,2021,4,Low
Headphones,Tech Inc,3,2018,5,High
Smartphone,Solutions Group,1,2019,5,High
Tablet,Electronics Ltd,3,2024,5,Moderate
Laptop,Gadget Group,2,2023,3,Low
Smartphone,Gadget Group,3,2023,8,Low
Smartwatch,Solutions Corp,5,2021,7,Low
Smartwatch,Innovations Corp,2,2021,5,Minimal
Smartphone,Tech Group,4,2023,7,High
Laptop,Enterprises Group,2,2019,5,High
Laptop,Gadget Corp,2,2021,5,Low
Smartphone,Systems Group,5,2023,7,Low
Smartphone,Solutions Corp,3,2024,6,Moderate
Headphones,Gadget Inc,2,2022,7,Moderate
Laptop,Gadget Corp,5,2022,6,Minimal
Laptop,Systems Ltd,4,2019,7,High
Tablet,Systems Group,5,2024,5,Moderate
Smartphone,Solutions Ltd,5,2024,3,Minimal
Smartwatch,Electronics Corp,4,2020,8,Minimal
Laptop,Solutions Inc,4,2023,6,Low
Laptop,Electronics Ltd,5,2022,3,Minimal
Smartphone,Tech Inc,3,2024,5,Minimal
Tablet,Enterprises Corp,5,2022,4,High
Tablet,Enterprises Ltd,1,2018,5,Moderate
Smartwatch,Enterprises Inc,3,2018,5,High
Laptop,Electronics Ltd,4,2019,2,High
Laptop,Gadget Ltd,2,2020,3,High
Laptop,Systems Ltd,4,2019,8,Minimal
Headphones,Gadget Ltd,2,2021,2,High
Smartwatch,Systems Corp,5,2021,7,Minimal
Headphones,Solutions Corp,3,2021,5,Moderate
Headphones,Tech Group,5,2022,2,Minimal
Tablet,Solutions Corp,2,2021,3,Low
Smartwatch,Electronics Inc,2,2019,6,Low
Laptop,Tech Group,1,2019,2,High
Laptop,Gadget Inc,1,2024,6,Moderate
Headphones,Solutions Group,4,2023,8,Low
Laptop,Solutions Inc,1,2021,7,Moderate
Headphones,Gadget Group,4,2019,2,High
Tablet,Solutions Group,1,2022,2,Moderate
Smartwatch,Solutions Group,5,2023,6,High
Smartphone,Innovations Group,1,2018,3,High
Smartphone,Gadget Corp,2,2019,8,High
Tablet,Innovations Ltd,1,2019,7,Minimal
Smartwatch,Innovations Ltd,3,2018,7,Moderate
Tablet,Innovations Corp,3,2020,3,Moderate
Smartwatch,Gadget Corp,3,2024,3,Minimal
Headphones,Solutions Corp,4,2022,5,Minimal
Tablet,Innovations Inc,5,2024,7,Low
Laptop,Electronics Corp,4,2022,3,Low
Smartphone,Solutions Group,4,2021,6,Low
Headphones,Solutions Ltd,4,2020,6,Minimal
Laptop,Gadget Inc,2,2023,4,Moderate
Smartphone,Tech Corp,2,2020,2,Low
Laptop,Innovations Group,4,2021,6,Low
Smartwatch,Electronics Corp,3,2021,7,Low
Laptop,Tech Group,1,2023,6,Low
Headphones,Tech Group,5,2018,5,Minimal
Smartphone,Enterprises Inc,4,2022,7,Moderate
Smartphone,Electronics Corp,3,2024,5,High
Tablet,Enterprises Corp,5,2024,5,Moderate
Headphones,Gadget Ltd,3,2021,7,Moderate
Headphones,Solutions Ltd,2,2019,6,High
Smartwatch,Enterprises Group,3,2020,7,High
Laptop,Solutions Group,2,2021,5,Low
Smartphone,Electronics Group,1,2024,2,Minimal
Tablet,Innovations Inc,2,2020,8,Minimal
Headphones,Electronics Corp,5,2018,3,High
Smartphone,Systems Inc,4,2024,5,Low
Smartphone,Gadget Ltd,3,2019,4,Low
Tablet,Enterprises Ltd,5,2024,6,High
Tablet,Solutions Inc,1,2022,6,Low
Tablet,Electronics Group,5,2018,6,High
Tablet,Innovations Ltd,5,2023,5,Low
Tablet,Solutions Inc,2,2020,4,Low
Smartphone,Enterprises Corp,2,2018,8,Minimal
Smartwatch,Gadget Corp,3,2019,5,High
Laptop,Gadget Ltd,1,2023,2,Minimal
Smartwatch,Gadget Group,3,2021,4,Minimal
Laptop,Enterprises Ltd,4,2022,4,High
Smartphone,Solutions Corp,4,2020,4,High
Smartphone,Solutions Ltd,2,2024,2,Minimal
Smartphone,Gadget Inc,1,2018,2,High
Headphones,Systems Ltd,2,2022,5,Moderate
Headphones,Tech Ltd,1,2021,8,Moderate
Laptop,Gadget Corp,2,2018,5,Low
Smartphone,Tech Inc,5,2023,7,High
Smartphone,Innovations Ltd,4,2021,2,Moderate
Tablet,Solutions Inc,3,2021,4,High
